,node,m_sample,m_kl,m_level_2,m_int_pval,m_int_val,m_log_int_pval,m_log_int_val,m_log_rsq,m_log_rsq_adj,m_log_slope_pval,m_log_slope_val,m_rsq,m_rsq_adj,m_slope_pval,m_slope_val,sem_sample,sem_kl,sem_level_2,sem_int_pval,sem_int_val,sem_log_int_pval,sem_log_int_val,sem_log_rsq,sem_log_rsq_adj,sem_log_slope_pval,sem_log_slope_val,sem_rsq,sem_rsq_adj,sem_slope_pval,sem_slope_val,subj_id
0,(wfpt.0),249.5,0.1548663470984904,0.0,0.1835032355554197,0.008129659915033007,0.23774353970680273,-0.06624810398632282,0.5905921517492189,0.5877089978882984,4.980956245348196e-18,1.0469977816460285,0.8347349649222872,0.8335711266470909,1.7722344553832398e-34,0.9665289842550997,6.461423991660042,0.007291084352259283,0.0,0.012162056411391602,0.0035723979098671475,0.013177925112096556,0.010401613110073383,0.00805163723311598,0.008108338903771726,4.1554432028314276e-18,0.008101676527302664,0.0022344462546752962,0.00225018179168005,1.771831244345438e-34,0.006240556315144264,s005
1,(wfpt.1),249.5,0.03628344435451785,0.0,0.01895812839037781,0.17845724592484033,0.12885202280989885,0.23770329478502222,0.4938054659395645,0.49024071569970223,1.1586004444407557e-18,0.8150154486451372,0.7643770992443802,0.7627177830418757,9.672750306046746e-31,0.7285440265170592,6.461423991660042,0.0011741944677637534,0.0,0.004817898749704107,0.0032399154293598896,0.010041832909312428,0.006765555123516295,0.003066985767415368,0.0030885842587351975,5.485052015046065e-19,0.005238298298833722,0.0022199866919651325,0.002235620401063478,9.108853356975222e-31,0.005035670424728081,s007
2,(wfpt.10),249.5,0.039762552299275854,0.0,0.08130047287471444,0.09770100385727339,0.22909492748651877,0.13232285188585602,0.5644622577424468,0.5613950905434498,2.6562441965232884e-24,0.8943362214617212,0.8273404427573796,0.8261245303824317,4.5014403639182e-45,0.8287087477462766,6.461423991660042,0.001604746769955573,0.0,0.009396772002127842,0.003042099188390368,0.01278562867216321,0.0072248010011895175,0.0032770046945171773,0.003300082192365891,1.1519315230937129e-24,0.005675404221645588,0.001421993051705448,0.0014320070872808387,3.7659966632860237e-45,0.005343946498563119,s028
3,(wfpt.100),249.5,0.17031671435099927,0.0,0.02297907194865838,0.19953665017665542,0.2093132230819901,0.2035441225242313,0.46674096644489904,0.4629856211381723,7.271472100948874e-12,0.8384287782869526,0.6887301381151488,0.6865380968342696,3.907220847009729e-20,0.6978290921961471,6.461423991660042,0.007289462433991217,0.0,0.005414530095297375,0.0035130062439598852,0.013016433086254291,0.008239844663674445,0.007417401737854461,0.007469636961360473,5.0057236429043654e-12,0.006300600016011778,0.003477217926934262,0.0035017053771239375,2.865359773903322e-20,0.005308078326835513,s359
4,(wfpt.101),249.5,0.027357387577160653,0.0,0.01928846449632305,0.10100752560488119,0.01863873524618,0.19817000238891322,0.9535493564056146,0.953222239197204,4.382613572593493e-59,0.8452715092416724,0.950351363462914,0.9500017251774415,1.3495685865013982e-54,0.8316973425113204,6.461423991660042,0.00017076678466729052,0.0,0.004613281206336278,0.002922621452348047,0.004563287771564318,0.006143217238224635,0.0012192543808667796,0.0012278406793235896,3.8439124653548985e-59,0.00483911667508457,0.0014087192059508296,0.0014186397637392142,1.0176773711260175e-54,0.005159882996484684,s365
5,(wfpt.102),249.5,0.08239286403280716,0.0,0.025563619998528395,0.14537763501218653,0.2585685997340922,0.1480596978710678,0.46818723855770455,0.46444207826585726,3.4490906846640723e-15,0.880478603199038,0.7646941867242008,0.7630371035321174,3.6311643322095506e-27,0.7528213882810718,6.461423991660042,0.004065485675854094,0.0,0.004785327921736549,0.003179106353991363,0.013478044091980338,0.007734556348632713,0.0055963272797894216,0.005635738035280897,2.207121644961098e-15,0.006051838014465421,0.0025416147165418426,0.002559513411728759,2.95097189319021e-27,0.005442405169266368,s368
6,(wfpt.103),249.5,0.44645653983571737,0.0,0.05293323681651955,0.12876569734752608,0.2906646002520203,0.06838761990559736,0.574292478312321,0.5712945380187453,2.476470882555845e-10,0.9393564180495897,0.6838348911150738,0.6816083762637717,2.8326527822141264e-21,0.7733279115658345,6.461423991660042,0.01380373850037673,0.0,0.006640062185793829,0.002914577967677281,0.01360072585636552,0.008607433576722633,0.009798221088106887,0.009867222645065387,7.27380884598444e-11,0.0065640120504482195,0.005425831282715765,0.005464041362171508,1.631904105768404e-21,0.004803810868700762,s369
7,(wfpt.104),249.5,0.09118021002054677,0.0,0.06985878847591742,0.10193394868782182,0.3618734008301722,-0.009715828839023718,0.44456417172196977,0.44062491052850894,4.2806461288236823e-16,0.9990692109891182,0.8728939426148096,0.8719924812149146,1.0907923763615268e-40,0.8184992512646321,6.461423991660042,0.003294351075693379,0.0,0.008481072090329443,0.0036815080932341157,0.0134791344179173,0.008649090451445634,0.005777084554197598,0.00581805678507843,1.140834641473555e-16,0.006748799458294162,0.0016359553401700114,0.001647557860313062,1.0772866632097183e-40,0.006044804575162854,s372
8,(wfpt.105),249.5,0.4708437199437039,0.0,0.06273647845566376,0.1416206292011178,0.27830149120553177,-0.004420712123151159,0.5967268352826517,0.5938667419158626,2.7165294294866665e-13,0.9895383260873575,0.7687561654055148,0.7671161382098085,1.1201003744026094e-26,0.7549051540153356,6.461423991660042,0.01477882000689581,0.0,0.007976242241482584,0.003599990162981262,0.0140077867966387,0.010188124290501074,0.008352114522057877,0.008411349376824244,1.180728063596039e-13,0.007691144076025018,0.0035768436437848745,0.003602211329201789,7.873511161052994e-27,0.005370227105574862,s373
9,(wfpt.106),249.5,0.4370574739697912,0.0,0.1659570127898699,0.055800485370372944,0.27098212337890565,0.03289741116498134,0.524600841716594,0.5212529603202324,4.0218889005867766e-15,0.9608971279835666,0.7418491322112601,0.7400311683535928,2.6910607124922383e-34,0.8352274789024171,6.461423991660042,0.013934401669654687,0.0,0.012044533879113037,0.0028436343785379304,0.013480739169075618,0.01032482219742846,0.006551244888511596,0.006597380415895482,1.4627233498884265e-15,0.008112590269342466,0.0027229447393481553,0.0027421204065266646,1.944035275081303e-34,0.005794170938629661,s374
10,(wfpt.107),249.5,1.026184958413015,0.0,0.13608956845670972,0.07512349646030467,0.13536777876941847,-0.21281752925554487,0.6858304256667255,0.6836179638756457,9.693763570653395e-10,1.151952206885204,0.663544126006138,0.6611747184428008,3.0084537313336263e-18,0.8087786348630552,6.461423991660042,0.023702786139487165,0.0,0.010857491860485553,0.00239335027582613,0.010332382728569412,0.010813644259317128,0.0062861901695136805,0.00633045911436941,7.793679408135758e-10,0.008260802496434098,0.005730069190597988,0.005770421790531777,2.854297569728057e-18,0.004391858345132846,s376
11,(wfpt.108),249.5,0.11912220566185164,0.0,0.01003571910891896,0.15415543716065228,0.16396713644293712,0.21137273471335002,0.5020788890721846,0.49857240237550954,6.159307183547909e-17,0.8272302399705062,0.7619538225681651,0.7602774410369559,2.4206744128770206e-26,0.6974087376567258,6.461423991660042,0.004872037545372873,0.0,0.002555827444747385,0.0027113424887283922,0.01210039709480622,0.007335033970827795,0.0042846884257910604,0.004314862287944517,5.1622816703691766e-17,0.005839332673463749,0.0024628944985891923,0.002480238826044047,2.4180011680285236e-26,0.005310172084593205,s380
12,(wfpt.109),249.5,0.01310196627521874,0.0,0.059038435724634984,0.06057713959621159,0.044207600214866784,0.11853641999307957,0.9721810153376044,0.9719851069949113,7.077052114993575e-56,0.908285457772863,0.9708241123234903,0.9706186483257683,4.659890385155102e-50,0.9056275768083224,6.461423991660042,8.384825904404037e-05,0.0,0.00837115678419535,0.0031534002142037973,0.006622862214389038,0.006200896491480027,0.0006640860138040052,0.0006687626758730489,7.0770521149677425e-56,0.004822652073607557,0.0007691536049827524,0.0007745701796657293,4.659890385133965e-50,0.005072503178370778,s383
13,(wfpt.11),249.5,0.02819787524743433,0.0,0.0038349855145611584,0.1527022162538895,0.0028290100976353645,0.3123646184177177,0.8954567235795433,0.894720503323062,6.513214216250942e-47,0.7551129580903866,0.8889210232808934,0.8881387769659703,2.7741972175926623e-42,0.7371757687057984,6.461423991660042,0.00017319992831919072,0.0,0.002276610076541525,0.002276949023056649,0.0015955957737473951,0.004933392935096963,0.0016994146556224457,0.0017113823644648567,5.757539472838297e-47,0.0038971090682005036,0.0019017766816048058,0.0019151694751372334,2.7116626652996132e-42,0.004108297374542312,s032
14,(wfpt.110),249.5,0.1582198924827367,0.0,0.05734617067101216,0.09046884963693112,0.14892866562190785,0.12282406602821848,0.8000905784596045,0.7986523811823354,1.3402805741533335e-35,0.9058470313477985,0.9393517228084256,0.9389154042674779,3.8047927782306104e-44,0.8792507638212849,6.461423991660042,0.005880046167077158,0.0,0.007746610800615355,0.004499023587619782,0.011626273370795248,0.009681980465029426,0.004527154207701411,0.004559723662433077,1.2477385023325757e-35,0.007287821410947859,0.0015001294122861206,0.0015109217102162369,3.8047121045256163e-44,0.006314312285264125,s384
15,(wfpt.111),249.5,0.08600058025726162,0.0,0.062194540902457074,0.1065830134470313,0.20079569867731348,0.12510775262773313,0.6982385926975203,0.6960984408726805,1.6589237373551346e-28,0.9024614508570457,0.9082120279113557,0.9075610493859042,3.097940324896984e-39,0.8463192372739027,6.461423991660042,0.003683380864859475,0.0,0.008140166735636485,0.00398681522606663,0.013014088292499094,0.008304356516001537,0.00453391751472016,0.004566072958086968,1.6576464603338655e-28,0.00635083627051491,0.00141658898189189,0.0014266357122599172,3.0979403248787934e-39,0.005895984376751298,s388
